[T17.],Labour force participation and unemployment,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,2010,Labour force participation - Total,68.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Unemployment rate - Total,7.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Labour force participation - Male,74.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Unemployment rate - Male,6.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Labour force participation - Female,62.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2010,Unemployment rate - Female,8.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Labour force participation - Total,67.9,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Unemployment rate - Total,6.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Labour force participation - Male,73.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Unemployment rate - Male,5.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Labour force participation - Female,62.7,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2015,Unemployment rate - Female,7.6,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2019,Labour force participation - Total,68.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2019,Unemployment rate - Total,7.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2019,Labour force participation - Male,73.0,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2019,Unemployment rate - Male,6.3,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2019,Labour force participation - Female,63.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
202,Sub-Saharan Africa,2019,Unemployment rate - Female,8.1,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
14,Eastern Africa,2005,Labour force participation - Total,78.2,Estimate.,"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2019."
