,ccode,country,year,Total ,age 15-17,age 18-19,<20,>20,age 20-34,age 35-49
48,TCD,Chad,2000.0,41.593929582621314,28.826649052404647,61.948063838877864,45.12557396724633,40.080421100178945,39.61960945715858,44.76140561687258
49,TCD,Chad,2004.0,44.79896127791625,45.41071578119474,49.83622042875149,47.804770335717,43.98548232661621,44.310243015071045,42.08799684307215
50,TCD,Chad,2010.0,53.181702386000296,52.89134914909012,51.25839493136453,51.61127187889527,52.31862120854572,52.41072847872794,51.84725281647029
51,COL,Colombia,2000.0,90.52578205085638,86.27787041318336,92.47608700078348,89.85717315780363,90.71055855596836,91.7507099431837,84.30783544397565
52,COL,Colombia,2005.0,93.5231042722049,94.3846814383775,92.43111372453475,93.35116325198256,93.57449968315605,93.85090183306606,91.97808171061433
53,COL,Colombia,2010.0,96.65332923770144,96.30803822074743,96.35603956817599,96.33331204034037,96.7548020013674,96.87770351484238,95.98370831883909
54,COM,Comoros,2000.0,74.33180885525134,84.67670351802553,74.82450139989703,77.76687073143589,81.06957523284707,82.86733587499724,73.77500076886298
55,COM,Comoros,2012.0,91.96797260649294,92.47175438129793,89.46202465670855,90.45170143022422,92.18248728237405,92.72236846478667,89.92097967301011
56,COG,Congo,2005.0,86.78030568750583,91.05970153567662,87.12880144256391,88.70943244051473,86.34585179041765,86.63829414894852,84.97912515038284
57,COG,Congo,2011.0,92.20060812026438,91.85328843619499,90.95298312302306,91.37292562322612,92.38115934581194,93.1038935923529,88.79724474732912
58,COD,Democratic Republic of the Congo,2001.0,68.24961566228384,80.49396175605933,79.3467213113426,79.76113792085214,70.11930374305011,70.07180716845195,70.33506125302222
59,COD,Democratic Republic of the Congo,2007.0,85.21050995591985,84.35641813261122,83.94980927347696,84.07501397814715,85.41139618770785,85.62622664001998,84.40002226010355
60,COD,Democratic Republic of the Congo,2010.0,87.25594813240744,67.57798546047925,80.77584687755042,77.62303679293416,86.83935805966529,87.21602823216345,85.26646239906684
61,COD,Democratic Republic of the Congo,2013.0,88.68790293338871,89.09588794417922,90.87242915462157,90.25030648442971,88.39545777639722,88.75867787234421,86.89105155159478
62,CRI,Costa Rica,2011.0,98.05146260349359,92.27301232332981,96.8260753205535,94.92201077247753,98.61293824737845,98.65793137878974,98.32514688977342
63,CIV,Côte d'Ivoire,2000.0,87.58680426076992,0.0,0.0,0.0,0.0,0.0,0.0
64,CIV,Côte d'Ivoire,2006.0,84.78561324922256,87.82316183825772,86.74235053633235,87.28553479031775,84.09949053289347,84.94368770638083,79.8682144905981
65,CIV,Côte d'Ivoire,2011.0,91.00487552630662,90.92751283687963,93.21100449872205,92.15543430268221,90.76545586783044,90.6649303948189,91.33638698081509
