[T30.],Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
16,American Samoa,2005,Tourist/visitor arrivals (thousands),TF,,25,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
16,American Samoa,2010,Tourist/visitor arrivals (thousands),TF,,23,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
16,American Samoa,2015,Tourist/visitor arrivals (thousands),TF,,20,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
16,American Samoa,2016,Tourist/visitor arrivals (thousands),TF,,20,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
16,American Samoa,2017,Tourist/visitor arrivals (thousands),TF,,20,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
20,Andorra,2005,Tourist/visitor arrivals (thousands),TF,,"2,418",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
20,Andorra,2010,Tourist/visitor arrivals (thousands),TF,,"1,808",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
20,Andorra,2015,Tourist/visitor arrivals (thousands),TF,,"2,663",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
20,Andorra,2016,Tourist/visitor arrivals (thousands),TF,,"2,819",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
20,Andorra,2017,Tourist/visitor arrivals (thousands),TF,,"3,003",Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,1995,Tourist/visitor arrivals (thousands),TF,,9,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2005,Tourist/visitor arrivals (thousands),TF,,210,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2010,Tourist/visitor arrivals (thousands),TF,,425,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2015,Tourist/visitor arrivals (thousands),TF,,592,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2016,Tourist/visitor arrivals (thousands),TF,,397,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2017,Tourist/visitor arrivals (thousands),TF,,261,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,1995,Tourism expenditure (millions of US dollars),,,27,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2005,Tourism expenditure (millions of US dollars),,,103,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2010,Tourism expenditure (millions of US dollars),,,726,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2015,Tourism expenditure (millions of US dollars),,,"1,171",,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2016,Tourism expenditure (millions of US dollars),,,628,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
24,Angola,2017,Tourism expenditure (millions of US dollars),,,884,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,1995,Tourist/visitor arrivals (thousands),TF,,39,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2005,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2010,Tourist/visitor arrivals (thousands),TF,,62,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2015,Tourist/visitor arrivals (thousands),TF,,73,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2016,Tourist/visitor arrivals (thousands),TF,,79,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2017,Tourist/visitor arrivals (thousands),TF,,68,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,1995,Tourism expenditure (millions of US dollars),,,50,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2005,Tourism expenditure (millions of US dollars),,,86,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2010,Tourism expenditure (millions of US dollars),,,99,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2015,Tourism expenditure (millions of US dollars),,,142,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2016,Tourism expenditure (millions of US dollars),,,143,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
660,Anguilla,2017,Tourism expenditure (millions of US dollars),,,149,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,1995,Tourist/visitor arrivals (thousands),TF,,220,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2005,Tourist/visitor arrivals (thousands),TF,,245,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2010,Tourist/visitor arrivals (thousands),TF,,230,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2015,Tourist/visitor arrivals (thousands),TF,,250,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2016,Tourist/visitor arrivals (thousands),TF,,265,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2017,Tourist/visitor arrivals (thousands),TF,,247,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),,,247,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
28,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),,,309,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2019."
