T09,Public expenditure on education,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
660,Anguilla,2005,Expenditure by level of education: tertiary (as % of government expenditure),18.3021,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2005,Public expenditure on education (% of GDP),2.9545,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2008,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),9.8199,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2008,All staff compensation as % of total expenditure in public institutions (%),69.3658,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2008,Capital expenditure as % of total expenditure in public institutions (%),20.8143,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2008,Expenditure by level of education: pre-primary (as % of government expenditure),1.6106,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2008,Expenditure by level of education: primary (as % of government expenditure),39.4499,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2008,Expenditure by level of education: secondary (as % of government expenditure),56.0897,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2008,Expenditure by level of education: tertiary (as % of government expenditure),2.8498,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
660,Anguilla,2008,Public expenditure on education (% of GDP),2.8426,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.6809,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,Capital expenditure as % of total expenditure in public institutions (%),3.8509,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,Expenditure by level of education: pre-primary (as % of government expenditure),2.1061,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,Expenditure by level of education: primary (as % of government expenditure),28.5517,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,Expenditure by level of education: secondary (as % of government expenditure),35.1522,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,Expenditure by level of education: tertiary (as % of government expenditure),6.7188,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,Public expenditure on education (% of government expenditure),11.7015,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2002,Public expenditure on education (% of GDP),3.3943,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2009,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.6290,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2009,All staff compensation as % of total expenditure in public institutions (%),73.2148,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2009,Capital expenditure as % of total expenditure in public institutions (%),5.1562,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2009,Expenditure by level of education: pre-primary (as % of government expenditure),0.2619,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2009,Expenditure by level of education: primary (as % of government expenditure),41.6132,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
28,Antigua and Barbuda,2009,Expenditure by level of education: secondary (as % of government expenditure),48.3925,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed March 2019."
