T22,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
20,Andorra,2017,Major trading partner 2 (% of exports),Sri Lanka,,15.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2005,Major trading partner 2 (% of imports),France,,22.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2010,Major trading partner 2 (% of imports),France,,17.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2017,Major trading partner 2 (% of imports),France,,18.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2005,Major trading partner 3 (% of exports),United States,,0.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2010,Major trading partner 3 (% of exports),United States,,0.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2017,Major trading partner 3 (% of exports),United States,,13.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2005,Major trading partner 3 (% of imports),Germany,,5.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2010,Major trading partner 3 (% of imports),Germany,,4.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
20,Andorra,2017,Major trading partner 3 (% of imports),Germany,,3.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2005,Major trading partner 1 (% of exports),China,,29.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2010,Major trading partner 1 (% of exports),China,,39.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2017,Major trading partner 1 (% of exports),China,,43.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2005,Major trading partner 1 (% of imports),China,,4.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2010,Major trading partner 1 (% of imports),China,,10.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2017,Major trading partner 1 (% of imports),China,,16.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2005,Major trading partner 2 (% of exports),India,,0.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2010,Major trading partner 2 (% of exports),India,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2017,Major trading partner 2 (% of exports),India,,8.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2005,Major trading partner 2 (% of imports),Portugal,,12.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2010,Major trading partner 2 (% of imports),Portugal,,14.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2017,Major trading partner 2 (% of imports),Portugal,,14.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2005,Major trading partner 3 (% of exports),Spain,,3.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2010,Major trading partner 3 (% of exports),Spain,,1.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2017,Major trading partner 3 (% of exports),Spain,,6.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2005,Major trading partner 3 (% of imports),Republic of Korea,,19.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2010,Major trading partner 3 (% of imports),Republic of Korea,,1.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
24,Angola,2017,Major trading partner 3 (% of imports),Republic of Korea,,8.6,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2005,Major trading partner 1 (% of exports),United States,,26.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2010,Major trading partner 1 (% of exports),United States,,17.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2017,Major trading partner 1 (% of exports),United States,,26.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2005,Major trading partner 1 (% of imports),United States,,61.7,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2010,Major trading partner 1 (% of imports),United States,,59.4,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2017,Major trading partner 1 (% of imports),United States,,69.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2017,Major trading partner 2 (% of exports),Thailand,,26.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2005,Major trading partner 2 (% of imports),Trinidad and Tobago,,6.9,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2010,Major trading partner 2 (% of imports),Trinidad and Tobago,,14.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2017,Major trading partner 2 (% of imports),Trinidad and Tobago,,5.1,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2005,Major trading partner 3 (% of exports),Saint Lucia,,8.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2017,Major trading partner 3 (% of exports),Saint Lucia,,8.3,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2005,Major trading partner 3 (% of imports),Poland,,0.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2010,Major trading partner 3 (% of imports),Poland,,0.0,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
660,Anguilla,2017,Major trading partner 3 (% of imports),Poland,,4.2,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2005,Major trading partner 1 (% of exports),United Kingdom,,16.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2010,Major trading partner 1 (% of exports),United Kingdom,,19.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2017,Major trading partner 1 (% of exports),United Kingdom,,52.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2005,Major trading partner 1 (% of imports),United States,,48.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2010,Major trading partner 1 (% of imports),United States,,34.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2017,Major trading partner 1 (% of imports),United States,,44.3,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2005,Major trading partner 2 (% of exports),United States,,7.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2010,Major trading partner 2 (% of exports),United States,,29.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
28,Antigua and Barbuda,2017,Major trading partner 2 (% of exports),United States,,16.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2018."
