T15,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
328,Guyana,2010,Balance of Payments: Financial account (millions of US dollars),-317,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
328,Guyana,2015,Balance of Payments: Financial account (millions of US dollars),-127,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
328,Guyana,2016,Balance of Payments: Financial account (millions of US dollars),167,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,1985,Balance of Payments: Current account (millions of US dollars),-95,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,1995,Balance of Payments: Current account (millions of US dollars),-87,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2005,Balance of Payments: Current account (millions of US dollars),7,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2010,Balance of Payments: Current account (millions of US dollars),-102,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2015,Balance of Payments: Current account (millions of US dollars),-271,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2016,Balance of Payments: Current account (millions of US dollars),-72,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,1995,Balance of Payments: Capital account (millions of US dollars),50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2005,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2010,Balance of Payments: Capital account (millions of US dollars),"1,474",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2015,Balance of Payments: Capital account (millions of US dollars),22,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2016,Balance of Payments: Capital account (millions of US dollars),62,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,1985,Balance of Payments: Financial account (millions of US dollars),-48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,1995,Balance of Payments: Financial account (millions of US dollars),88,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2005,Balance of Payments: Financial account (millions of US dollars),18,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2010,Balance of Payments: Financial account (millions of US dollars),"1,738",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2015,Balance of Payments: Financial account (millions of US dollars),-399,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
332,Haiti,2016,Balance of Payments: Financial account (millions of US dollars),172,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,1985,Balance of Payments: Current account (millions of US dollars),-220,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,1995,Balance of Payments: Current account (millions of US dollars),-201,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2005,Balance of Payments: Current account (millions of US dollars),-304,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2010,Balance of Payments: Current account (millions of US dollars),-682,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2015,Balance of Payments: Current account (millions of US dollars),-978,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2016,Balance of Payments: Current account (millions of US dollars),-587,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2017,Balance of Payments: Current account (millions of US dollars),-380,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,1995,Balance of Payments: Capital account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2005,Balance of Payments: Capital account (millions of US dollars),848,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2010,Balance of Payments: Capital account (millions of US dollars),48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2015,Balance of Payments: Capital account (millions of US dollars),34,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2016,Balance of Payments: Capital account (millions of US dollars),11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2017,Balance of Payments: Capital account (millions of US dollars),45,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,1985,Balance of Payments: Financial account (millions of US dollars),-259,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,1995,Balance of Payments: Financial account (millions of US dollars),-139,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2005,Balance of Payments: Financial account (millions of US dollars),367,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2010,Balance of Payments: Financial account (millions of US dollars),-896,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2015,Balance of Payments: Financial account (millions of US dollars),"-1,075",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2016,Balance of Payments: Financial account (millions of US dollars),-595,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
340,Honduras,2017,Balance of Payments: Financial account (millions of US dollars),-677,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,1985,Balance of Payments: Current account (millions of US dollars),-455,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,1995,Balance of Payments: Current account (millions of US dollars),"-1,577",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2005,Balance of Payments: Current account (millions of US dollars),"-7,883",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2010,Balance of Payments: Current account (millions of US dollars),346,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2015,Balance of Payments: Current account (millions of US dollars),"4,184",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2016,Balance of Payments: Current account (millions of US dollars),"7,594",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2017,Balance of Payments: Current account (millions of US dollars),"3,743",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,1995,Balance of Payments: Capital account (millions of US dollars),60,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2005,Balance of Payments: Capital account (millions of US dollars),740,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2010,Balance of Payments: Capital account (millions of US dollars),"2,365",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2015,Balance of Payments: Capital account (millions of US dollars),"5,648",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2016,Balance of Payments: Capital account (millions of US dollars),-48,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2017,Balance of Payments: Capital account (millions of US dollars),"1,686",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,1985,Balance of Payments: Financial account (millions of US dollars),-530,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,1995,Balance of Payments: Financial account (millions of US dollars),403,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2005,Balance of Payments: Financial account (millions of US dollars),"-10,073",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2010,Balance of Payments: Financial account (millions of US dollars),"1,380",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2015,Balance of Payments: Financial account (millions of US dollars),"7,260",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2016,Balance of Payments: Financial account (millions of US dollars),"4,242",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
348,Hungary,2017,Balance of Payments: Financial account (millions of US dollars),"2,505",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,1985,Balance of Payments: Current account (millions of US dollars),-115,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,1995,Balance of Payments: Current account (millions of US dollars),13,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2005,Balance of Payments: Current account (millions of US dollars),"-2,653",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2010,Balance of Payments: Current account (millions of US dollars),-881,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2015,Balance of Payments: Current account (millions of US dollars),895,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2016,Balance of Payments: Current account (millions of US dollars),"1,595",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2017,Balance of Payments: Current account (millions of US dollars),879,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,1995,Balance of Payments: Capital account (millions of US dollars),-4,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2005,Balance of Payments: Capital account (millions of US dollars),-6,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2010,Balance of Payments: Capital account (millions of US dollars),-11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2015,Balance of Payments: Capital account (millions of US dollars),-11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2016,Balance of Payments: Capital account (millions of US dollars),-12,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2017,Balance of Payments: Capital account (millions of US dollars),-13,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,1985,Balance of Payments: Financial account (millions of US dollars),-168,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,1995,Balance of Payments: Financial account (millions of US dollars),-33,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2005,Balance of Payments: Financial account (millions of US dollars),"-2,336",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2010,Balance of Payments: Financial account (millions of US dollars),-680,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2015,Balance of Payments: Financial account (millions of US dollars),895,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2016,Balance of Payments: Financial account (millions of US dollars),"1,824",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
352,Iceland,2017,Balance of Payments: Financial account (millions of US dollars),698,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,1985,Balance of Payments: Current account (millions of US dollars),"-4,141",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,1995,Balance of Payments: Current account (millions of US dollars),"-5,563",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2005,Balance of Payments: Current account (millions of US dollars),"-10,284",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2010,Balance of Payments: Current account (millions of US dollars),"-54,516",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2015,Balance of Payments: Current account (millions of US dollars),"-22,457",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2016,Balance of Payments: Current account (millions of US dollars),"-12,114",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2017,Balance of Payments: Current account (millions of US dollars),"-39,073",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2010,Balance of Payments: Capital account (millions of US dollars),50,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2015,Balance of Payments: Capital account (millions of US dollars),37,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2016,Balance of Payments: Capital account (millions of US dollars),137,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2017,Balance of Payments: Capital account (millions of US dollars),37,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,1985,Balance of Payments: Financial account (millions of US dollars),"-3,641",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,1995,Balance of Payments: Financial account (millions of US dollars),"-4,594",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2005,Balance of Payments: Financial account (millions of US dollars),"-10,730",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2010,Balance of Payments: Financial account (millions of US dollars),"-56,483",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2015,Balance of Payments: Financial account (millions of US dollars),"-23,593",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2016,Balance of Payments: Financial account (millions of US dollars),"-13,601",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
356,India,2017,Balance of Payments: Financial account (millions of US dollars),"-37,491",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,1985,Balance of Payments: Current account (millions of US dollars),"-1,923",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,1995,Balance of Payments: Current account (millions of US dollars),"-6,431",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2005,Balance of Payments: Current account (millions of US dollars),278,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2010,Balance of Payments: Current account (millions of US dollars),"5,144",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2015,Balance of Payments: Current account (millions of US dollars),"-17,519",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2016,Balance of Payments: Current account (millions of US dollars),"-16,952",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2017,Balance of Payments: Current account (millions of US dollars),"-17,293",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,1995,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2005,Balance of Payments: Capital account (millions of US dollars),334,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2010,Balance of Payments: Capital account (millions of US dollars),50,Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2015,Balance of Payments: Capital account (millions of US dollars),17,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2016,Balance of Payments: Capital account (millions of US dollars),41,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2017,Balance of Payments: Capital account (millions of US dollars),46,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,1985,Balance of Payments: Financial account (millions of US dollars),"-1,272",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,1995,Balance of Payments: Financial account (millions of US dollars),"-8,686",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2005,Balance of Payments: Financial account (millions of US dollars),475,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2010,Balance of Payments: Financial account (millions of US dollars),"3,866",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2015,Balance of Payments: Financial account (millions of US dollars),"-17,941",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2016,Balance of Payments: Financial account (millions of US dollars),"-17,217",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
360,Indonesia,2017,Balance of Payments: Financial account (millions of US dollars),"-18,249",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
364,Iran (Islamic Republic of),1985,Balance of Payments: Current account (millions of US dollars),-476,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
364,Iran (Islamic Republic of),1995,Balance of Payments: Current account (millions of US dollars),"3,358",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
364,Iran (Islamic Republic of),1985,Balance of Payments: Financial account (millions of US dollars),11,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
364,Iran (Islamic Republic of),1995,Balance of Payments: Financial account (millions of US dollars),"3,641",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2005,Balance of Payments: Current account (millions of US dollars),"-3,335",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2010,Balance of Payments: Current account (millions of US dollars),"6,488",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2015,Balance of Payments: Current account (millions of US dollars),"4,121",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2016,Balance of Payments: Current account (millions of US dollars),"3,843",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2005,Balance of Payments: Capital account (millions of US dollars),"20,489",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2010,Balance of Payments: Capital account (millions of US dollars),25,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2015,Balance of Payments: Capital account (millions of US dollars),-2,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2016,Balance of Payments: Capital account (millions of US dollars),-1,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2005,Balance of Payments: Financial account (millions of US dollars),"17,604",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2010,Balance of Payments: Financial account (millions of US dollars),"-2,637",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2015,Balance of Payments: Financial account (millions of US dollars),"-19,162",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
368,Iraq,2016,Balance of Payments: Financial account (millions of US dollars),"-12,461",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2005,Balance of Payments: Current account (millions of US dollars),"-7,150",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2010,Balance of Payments: Current account (millions of US dollars),"2,319",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2015,Balance of Payments: Current account (millions of US dollars),"31,670",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2016,Balance of Payments: Current account (millions of US dollars),"14,349",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2017,Balance of Payments: Current account (millions of US dollars),"42,719",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2005,Balance of Payments: Capital account (millions of US dollars),418,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2010,Balance of Payments: Capital account (millions of US dollars),-827,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2015,Balance of Payments: Capital account (millions of US dollars),"-1,449",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2016,Balance of Payments: Capital account (millions of US dollars),"-6,129",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2017,Balance of Payments: Capital account (millions of US dollars),"-29,429",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2005,Balance of Payments: Financial account (millions of US dollars),724,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2010,Balance of Payments: Financial account (millions of US dollars),"-8,419",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2015,Balance of Payments: Financial account (millions of US dollars),"36,259",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2016,Balance of Payments: Financial account (millions of US dollars),"6,238",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
372,Ireland,2017,Balance of Payments: Financial account (millions of US dollars),"6,371",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
376,Israel,1985,Balance of Payments: Current account (millions of US dollars),988,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
376,Israel,1995,Balance of Payments: Current account (millions of US dollars),"-4,790",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
376,Israel,2005,Balance of Payments: Current account (millions of US dollars),"4,540",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
376,Israel,2010,Balance of Payments: Current account (millions of US dollars),"8,372",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
376,Israel,2015,Balance of Payments: Current account (millions of US dollars),"15,359",Break in the time series.,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
376,Israel,2016,Balance of Payments: Current account (millions of US dollars),"11,879",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
376,Israel,2017,Balance of Payments: Current account (millions of US dollars),"10,392",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed May 2018."
