Time,L06_347,LS06_347,LS06_348
2009-01-09 21:00:00,0.08116666666666665,0.05358333333333334,0.010999999999999998
2009-01-10 00:00:00,0.11541666666666668,0.077,0.010999999999999998
2009-01-10 03:00:00,0.12425000000000001,0.12041666666666669,0.011166666666666665
2009-01-10 06:00:00,0.13658333333333336,0.11341666666666668,0.011666666666666667
2009-01-10 09:00:00,0.19350000000000003,0.147,0.013000000000000003
2009-01-10 12:00:00,0.14708333333333332,0.10208333333333332,0.01875
2009-01-10 15:00:00,0.07475,0.06833333333333332,0.015500000000000005
2009-01-10 18:00:00,0.09058333333333334,0.059166666666666645,0.013916666666666666
2009-01-10 21:00:00,0.07716666666666666,0.06333333333333334,0.013583333333333334
2009-01-11 00:00:00,0.061166666666666675,0.05591666666666668,0.013250000000000003
2009-01-11 03:00:00,0.09800000000000002,0.06433333333333335,0.014000000000000004
